AtoJsOnline	1868 Session I	83	National Library of New Zealand	1.91907809237607
AtoJsOnline	1879 Session I	82	National Library of New Zealand	1.91381385238372
AtoJsOnline	1862 Session I	79	National Library of New Zealand	1.89762709129044
AtoJsOnline	1863 Session I	76	National Library of New Zealand	1.88081359228079
AtoJsOnline	1884 Session I	69	National Library of New Zealand	1.83884909073726
AtoJsOnline	1864 Session I	58	National Library of New Zealand	1.76342799356294
AtoJsOnline	1902 Session I	48	National Library of New Zealand	1.68124123737559
AtoJsOnline	1906 Session II	45	National Library of New Zealand	1.65321251377534
AtoJsOnline	1869 Session I	35	National Library of New Zealand	1.54406804435028
AtoJsOnline	1891 Session I	16	National Library of New Zealand	1.20411998265592
Auckland Art Gallery Toi o Tāmaki	Matapihi	15212	Auckland Art Gallery Toi o Tāmaki	4.18218631673954
Auckland Art Gallery Toi o Tāmaki	Mackelvie Trust	2481	Auckland Art Gallery Toi o Tāmaki	3.39462676427221
Auckland Art Gallery Toi o Tāmaki	Chartwell Trust	1397	Auckland Art Gallery Toi o Tāmaki	3.14519640611418
Auckland Art Gallery Toi o Tāmaki	Grey Collection	45	Auckland Art Gallery Toi o Tāmaki	1.65321251377534
Auckland Art Gallery Toi o Tāmaki	P A Edmiston Trust	5	Auckland Art Gallery Toi o Tāmaki	0.698970004336019
Auckland City Archives Document and Image Gallery	Auckland City Archives Document and Image Gallery	21	Auckland City Archives	1.32221929473392
Auckland Libraries Heritage Images Collection	Matapihi	78267	Auckland Libraries	4.89357868748776
Auckland Museum Library Catalogue	Matapihi	12625	Auckland War Memorial Museum Tamaki Paenga Hira	4.1012313867907
Auckland Museum Library Catalogue	Auckland Museum Library Catalogue	1115	Matapihi	3.04727486738418
audiofoundation.org.nz	audiofoundation.org.nz	63	Audio Foundation	1.79934054945358
Australian Research Online	Australian Research Online	24816	Australian Research Online	4.39473178046953
Beacon	Beacon	32	Beacon Pathway Ltd	1.50514997831991
BRANZ	BRANZ	1264	BRANZ	3.10174707394637
British Parliamentary Papers	British Parliamentary Papers	2012	University of Waikato	3.30362797638389
Carterton Kete	Carterton Kete	484	Carterton District Library	2.68484536164441
Cenotaph Database	Cenotaph Database	14852	Auckland War Memorial Museum Tamaki Paenga Hira	4.17178494055412
Christchurch Art Gallery Te Puna o Waiwhetu	Matapihi	3830	Christchurch Art Gallery Te Puna o Waiwhetu	3.58319877396862
Christchurch City Libraries Heritage Images Collection	Matapihi	2034	Christchurch City Libraries	3.30835094858673
Christchurch uncovered	CEISMIC	10	Christchurch uncovered	1
CPIT Repository	Kiwi Research Information Service	130	Christchurch Polytechnic Institute of Technology, Te Wānanga Ōtautahi	2.11394335230684
Cuthbert	Cuthbert	67	The University of Auckland Library	1.82607480270083
data.govt.nz	data.govt.nz	2357	data.govt.nz	3.37235958252432
Department of Conservation Te Papa Atawhai	Department of Conservation Te Papa Atawhai	1367	Department of Conservation Te Papa Atawhai	3.13576851456782
Department of Corrections	Department of Corrections	9	Department of Corrections	0.954242509439325
Department of Labour	Department of Labour	520	Department of Labour	2.7160033436348
Dictionary of New Zealand Biography	Ministry for Culture and Heritage	6425	Ministry for Culture and Heritage	3.80787313200333
Digital Collections (Pictures)	Digital Collections (Pictures)	1762	National Library of Australia	3.24600590407603
Digital Collections (Pictures)	Digital Collections (Pictures)	1762	Picture Australia	3.24600590407603
DigitalNZ Sets	DigitalNZ Sets	1538	DigitalNZ	3.18695633546541
Down to the Wire	Down to the Wire	22	Down to the Wire	1.34242268082221
Early New Zealand Statutes	Early New Zealand Statutes	7438	The University of Auckland Library	3.87145617402295
Education Counts	Education Counts	87	Ministry of Education	1.93951925261862
Energy Efficiency and Conservation Authority	Energy Efficiency and Conservation Authority	68	Energy Efficiency and Conservation Authority	1.83250891270624
Europeana	Europeana	1096	Europeana	3.03981055414835
Flickr	Flickr	713	Alexander Turnbull Library	2.85308952985187
Flickr	Flickr	246	Archives New Zealand Te Rua Mahara o te Kāwanatanga	2.39093510710338
Footprints of Manukau	Leisure	913	Auckland Libraries	2.9604707775343
Footprints of Manukau	Work	594	Auckland Libraries	2.77378644498119
Footprints of Manukau	Transport	488	Auckland Libraries	2.68841982200271
Footprints of Manukau	Education	363	Auckland Libraries	2.55990662503611
Footprints of Manukau	Religion	229	Auckland Libraries	2.35983548233989
Footprints of Manukau	Agriculture	138	Auckland Libraries	2.13987908640124
Footprints of Manukau	Community Life	133	Auckland Libraries	2.12385164096709
Footprints of Manukau	Politics	56	Auckland Libraries	1.7481880270062
Free Music Archive	Free Music Archive	5	Free Music Archive	0.698970004336019
Future Christchurch	CEISMIC	107	Future Christchurch	2.02938377768521
Ghosts In The Form Of Gifts	Ghosts In The Form Of Gifts	10	Bronwyn Holloway-Smith	1
Gisborne Photo News	Gisborne Photo News	14190	Gisborne Photo News	4.15198239545747
Grey Collection - The Gift	Grey Collection - The Gift	53	Auckland Libraries	1.72427586960079
History of the University of Auckland	Matapihi	5596	The University of Auckland Library	3.74787770581979
Hurunui Kete	Hurunui Kete	1412	Hurunui District Libraries	3.14983469671578
Journal of the Polynesian Society	Journal of the Polynesian Society	5131	The University of Auckland Library	3.71020201465538
Kete Central Hawke's Bay	Kete Central Hawke's Bay	314	Kete Central Hawke's Bay	2.49692964807321
Kete Christchurch	CEISMIC	5864	Kete Christchurch	3.76819396163307
Kete Hamilton	Kete Hamilton	7735	Hamilton City Libraries	3.88846031803539
Kete Hauraki Coromandel	Kete Hauraki Coromandel	931	Kete Hauraki Coromandel	2.96894968098134
Kete Horowhenua	Kete Horowhenua	26069	Kete Horowhenua	4.41612437206547
Kete Kawerau	Kete Kawerau	442	Kawerau District Library	2.64542226934909
Kete King Country	Kete King Country	262	Kete King Country	2.41830129131975
Kete Marlborough	Kete Marlborough	56	Kete Marlborough	1.7481880270062
Kete Masterton	Kete Masterton	372	Kete Masterton	2.5705429398819
Kete New Plymouth	Kete New Plymouth	14451	Kete New Plymouth	4.1598979010341
Kete Rotorua	Kete Rotorua	1642	Kete Rotorua	3.21537315278342
Kete Selwyn	Kete Selwyn	2293	Kete Selwyn	3.36040405472994
Kete Tararua	Kete Tararua	276	Kete Tararua	2.44090908206522
Kete Tasman	Kete Tasman	917	Kete Tasman	2.96236933567002
Kete Waimakariri	Kete Waimakariri	371	Waimakariri District Libraries	2.56937390961505
Kete West Coast	Kete West Coast	2466	Buller, Grey and Westland District Libraries	3.39199307225971
Knowledge Auckland, Auckland Regional Council	Knowledge Auckland, Auckland Regional Council	7	Auckland Regional Council	0.845098040014257
Lincoln University Research Archive	Kiwi Research Information Service	5338	Lincoln University	3.72737856945149
Local History Online	Matapihi	2687	Auckland Libraries	3.42926766643317
Local History Online	Waitakere Libraries	1828	Auckland Libraries	3.26197619139781
Local History Online	North Shore Libraries	805	Auckland Libraries	2.90579588036787
Local History Online	Rodney Libraries	54	Auckland Libraries	1.73239375982297
Lost Christchurch	CEISMIC	109	Lost Christchurch	2.03742649794062
Māori Niupepa Collection	Māori Niupepa Collection	1816	University of Waikato	3.25911584418507
Massey Research Online	Kiwi Research Information Service	4152	Massey University	3.6182573448404
Ministry for the Environment	Ministry for the Environment	809	Ministry for the Environment	2.90794852161227
Ministry of Health Publications	Ministry of Health Publications	640	Ministry of Health	2.80617997398389
Motu Economic and Public Policy Research	Motu Economic and Public Policy Research	440	Motu Economic and Public Policy Research	2.64345267648619
Museum Victoria	Museum Victoria	1065	Museum Victoria	3.02734960777476
mychillybin.co.nz	mychillybin.co.nz	30615	mychillybin	4.48593426377175
NABIS	NABIS	652	Ministry of Fisheries Te Tautiaki i nga tini a Tangaroa	2.81424759573192
Nelson Photo News	Nelson Photo News	8222	Nelson Photo News	3.91497747244433
New Zealand Book Council	New Zealand Book Council	505	New Zealand Book Council	2.70329137811866
New Zealand Electronic Text Collection	Matapihi	128817	New Zealand Electronic Text Collection	5.10997318071791
New Zealand Electronic Text Collection	New Zealand Electronic Text Collection	89828	Victoria University of Wellington	4.95341173032076
New Zealand Electronic Text Collection	New Zealand Electronic Text Collection	36	Matapihi	1.55630250076729
New Zealand Free Photos	New Zealand Free Photos	50	New Zealand Free Photos	1.69897000433602
New Zealand History online	CEISMIC	11	Ministry for Culture and Heritage	1.04139268515823
New Zealand Journal of History	New Zealand Journal of History	1387	The University of Auckland Library	3.14207646107328
New Zealand Parliament - Pāremata Aotearoa	New Zealand Parliament - Pāremata Aotearoa	1183	New Zealand Parliament - Pāremata Aotearoa	3.07298474462793
New Zealand Police	New Zealand Police	34	New Zealand Police	1.53147891704226
New Zealand Taxation	New Zealand Taxation	588	New Zealand Taxation	2.76937732607614
Nga Manu Images	Nga Manu Images	151	Nga Manu Nature Reserve	2.17897694729317
NZ Chinese Journals先驅者之聲	NZ Chinese Journals先驅者之聲	15632	Auckland Libraries	4.1940145463747
NZ On Screen	CEISMIC	39	NZ On Screen	1.5910646070265
NZMuseums	NZMuseums	703	Howick Historical Village	2.84695532501982
