22901000	246	http://natlib.govt.nz/records/22901000	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE362073&dps_func=thumbnail	The New Zealand Chinese Association building
22723525	216	http://natlib.govt.nz/records/22723525	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE1007676&dps_func=thumbnail	Mansfield, Katherine, 1888-1923 (Collector) :[Brass pig penwiper, early twentieth century?]
22878018	216	http://natlib.govt.nz/records/22878018	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE183831&dps_func=thumbnail	Cliffs and rock arches forming a natural bridge at Tunnel Beach, ca 2 km west of St Clair, Dunedin.
23008239	209	http://natlib.govt.nz/records/23008239	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE6643709&dps_func=thumbnail	Unidentified young woman dancing, Ba, Fiji
22898651	208	http://natlib.govt.nz/records/22898651	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE1237321&dps_func=thumbnail	Railway crossing outside Italian village of Balsorano destroyed by retreating German troops, World War II - Photograph taken by George Kaye
22821256	206	http://natlib.govt.nz/records/22821256		Lychgate Funeral Service (Wellington) : Records of E Morris Junior Ltd and J E Taylor and Sons Ltd, Funeral Directors
22901014	205	http://natlib.govt.nz/records/22901014	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE177788&dps_func=thumbnail	Italian women with Allied soldiers, Sora, Italy, during World War II
20551087	204	http://natlib.govt.nz/records/20551087		Government ICT directions and priorities [electronic resource] : driving change for lower cost, higher quality public services.
23529655	191	http://natlib.govt.nz/records/23529655	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE7323893&dps_func=thumbnail	Mataitai Bay, Oneroa, Waiheke Island, Auckland
22550005	189	http://natlib.govt.nz/records/22550005	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE50616&dps_func=thumbnail	Mallet No. 7 locomotive on the Pokaiwhenua Bridge, near Tokoroa
22309206	182	http://natlib.govt.nz/records/22309206	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE1263622&dps_func=thumbnail	Men in canoes, Niue
23231268	182	http://natlib.govt.nz/records/23231268	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE1237300&dps_func=thumbnail	Sign indicating Balsorano village, Italy, almost destroyed during World War II - Photograph taken by George Kaye
23078657	181	http://natlib.govt.nz/records/23078657	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE1088586&dps_func=thumbnail	Woman and cat
22846496	179	http://natlib.govt.nz/records/22846496	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE175839&dps_func=thumbnail	Saint Clair, Dunedin, showing beach and surrounding area
22563352	175	http://natlib.govt.nz/records/22563352	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE1236594&dps_func=thumbnail	Men embracing and kissing
22896641	170	http://natlib.govt.nz/records/22896641	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE306325&dps_func=thumbnail	Members of the lobby groups Not in Our Name, and the Kawanatanga Network, with Race Relations Conciliator John Clarke - Photograph taken by Ray Pigney
23188096	170	http://natlib.govt.nz/records/23188096	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE3317171&dps_func=thumbnail	War diary
23919592	169	http://paperspast.natlib.govt.nz/cgi-bin/paperspast?a=d&cl=search&d=ODT18880402.2.27.5		Page 3 Advertisements Column 5 (Otago Daily Times, 02 April 1888)
22479487	168	http://natlib.govt.nz/records/22479487	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE301000&dps_func=thumbnail	German 75mm gun captured north of Rimini, Italy, during World War II - Photograph taken by Philip Wallace Hector
21981968	166	http://natlib.govt.nz/records/21981968	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE319277&dps_func=thumbnail	Port Cooper, Port Levy and Pigeon Bay [cartographic material] / surveyed by J.L. Stokes, 1849.
22345803	165	http://natlib.govt.nz/records/22345803	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE3715827&dps_func=thumbnail	Unidentified woman with cat at Wellington Cat Club Show
23241420	164	http://natlib.govt.nz/records/23241420	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE126977&dps_func=thumbnail	George F Kaye, 1914- (photographer) : Members of the Maori Battalion at Sora, Italy
22906470	162	http://natlib.govt.nz/records/22906470	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE40778&dps_func=thumbnail	German self propelled gun, Sora, Italy
20757031	161	http://natlib.govt.nz/records/20757031		New Zealand beginner's guide to family history research / Anne Bromell.
22837702	159	http://natlib.govt.nz/records/22837702	http://ndhadeliver.natlib.govt.nz/delivery/DeliveryManagerServlet?dps_pid=IE1237305&dps_func=thumbnail	NZ Division vehicle passes abandoned enemy gun on main road through Balsorano in Italy, World War II - Photograph taken by George Kaye
